Instituto Nacional de Estadística y Geografía (INEGI),,,,,,,,,,
"Matrícula escolar por entidad federativa según nivel educativo, ciclos escolares seleccionados de 2000/2001 a 2024/2025",,,,,,,,,,
,,,,,,,,,,
Fecha de consulta: 17/04/2026 22:41:07,,,,,,,,,,
,,,,,,,,,,
Alumnos,,,,,,,,,,
Entidad federativa,Nivel educativo,2020/2021,2020/2021,2020/2021,2021/2022,2021/2022,2021/2022,2022/2023,2022/2023,2022/2023
Entidad federativa,Nivel educativo,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres
Quintana Roo,Preescolar,"52,297","26,223","26,074","48,796","24,603","24,193","54,941","27,843","27,098"
Quintana Roo,Primaria,"192,939","98,173","94,766","192,805","97,974","94,831","194,034","98,493","95,541"
Quintana Roo,Secundaria,"89,433","45,169","44,264","93,262","47,291","45,971","93,683","47,500","46,183"
Quintana Roo,Media superior,"66,096","32,626","33,470","66,054","32,134","33,920","71,875","35,359","36,516"
Quintana Roo,Superior,"38,661","19,118","19,543","37,873","18,410","19,463","38,816","18,938","19,878"
San Luis Potosí,Total,"757,144","378,743","378,401","736,425","366,156","370,269","739,383","368,716","370,667"
San Luis Potosí,Inicial,"6,302","3,215","3,087","7,170","3,744","3,426","8,252","4,323","3,929"
San Luis Potosí,Preescolar,"115,966","58,568","57,398","110,127","55,555","54,572","112,524","56,759","55,765"
San Luis Potosí,Primaria,"305,212","155,464","149,748","299,068","152,032","147,036","297,011","151,036","145,975"
San Luis Potosí,Secundaria,"147,498","74,149","73,349","142,883","71,565","71,318","141,849","71,101","70,748"
San Luis Potosí,Media superior,"102,675","49,679","52,996","97,271","46,292","50,979","100,223","48,649","51,574"
San Luis Potosí,Superior,"79,491","37,668","41,823","79,906","36,968","42,938","79,524","36,848","42,676"
Sinaloa,Total,"856,562","429,293","427,269","834,528","414,700","419,828","849,072","422,474","426,598"
Sinaloa,Inicial,"8,286","4,182","4,104","9,080","4,749","4,331","10,271","5,304","4,967"
Sinaloa,Preescolar,"107,025","54,189","52,836","107,623","54,506","53,117","110,424","56,186","54,238"
Sinaloa,Primaria,"314,293","160,740","153,553","309,816","158,810","151,006","306,849","156,718","150,131"
Sinaloa,Secundaria,"156,830","79,533","77,297","154,636","78,154","76,482","151,392","76,545","74,847"
Sinaloa,Media superior,"137,777","67,449","70,328","130,291","62,318","67,973","138,451","66,919","71,532"
Sinaloa,Superior,"132,351","63,200","69,151","123,082","56,163","66,919","131,685","60,802","70,883"
Sonora,Total,"789,476","394,866","394,610","769,626","382,855","386,771","766,084","381,717","384,367"
Sonora,Inicial,"10,911","5,570","5,341","7,904","4,015","3,889","8,991","4,579","4,412"
Sonora,Preescolar,"87,460","44,182","43,278","82,512","41,636","40,876","86,191","43,293","42,898"
Sonora,Primaria,"303,903","154,691","149,212","298,952","152,617","146,335","293,322","149,662","143,660"
Sonora,Secundaria,"152,003","77,113","74,890","152,287","76,871","75,416","145,723","73,569","72,154"
Sonora,Media superior,"114,996","55,658","59,338","113,922","54,817","59,105","118,269","57,799","60,470"
Sonora,Superior,"120,203","57,652","62,551","114,049","52,899","61,150","113,588","52,815","60,773"
Tabasco,Total,"717,842","365,718","352,124","707,924","358,680","349,244","708,764","359,493","349,271"
Tabasco,Inicial,"4,104","2,130","1,974","3,722","1,870","1,852","4,249","2,129","2,120"
Tabasco,Preescolar,"113,327","57,300","56,027","106,853","53,984","52,869","105,905","53,553","52,352"
Tabasco,Primaria,"286,727","146,777","139,950","282,172","144,231","137,941","278,171","141,601","136,570"
Tabasco,Secundaria,"135,133","68,922","66,211","134,301","68,409","65,892","134,160","68,592","65,568"
Tabasco,Media superior,"111,107","56,065","55,042","111,026","55,642","55,384","115,170","58,393","56,777"
Tabasco,Superior,"67,444","34,524","32,920","69,850","34,544","35,306","71,109","35,225","35,884"
Tamaulipas,Total,"925,216","461,512","463,704","895,431","443,610","451,821","910,647","451,013","459,634"
Tamaulipas,Inicial,"7,863","4,026","3,837","7,613","3,896","3,717","7,974","4,036","3,938"
Tamaulipas,Preescolar,"102,311","51,315","50,996","92,595","46,306","46,289","100,308","49,930","50,378"
Tamaulipas,Primaria,"369,942","188,268","181,674","363,253","184,581","178,672","359,932","183,445","176,487"
Tamaulipas,Secundaria,"175,384","88,425","86,959","172,977","86,912","86,065","170,009","84,933","85,076"
Tamaulipas,Media superior,"134,933","65,107","69,826","127,272","60,419","66,853","136,541","66,331","70,210"
Tamaulipas,Superior,"134,783","64,371","70,412","131,721","61,496","70,225","135,883","62,338","73,545"
Tlaxcala,Total,"370,228","185,066","185,162","365,653","181,789","183,864","371,612","185,058","186,554"
Tlaxcala,Inicial,"1,426",682,744,"1,363",678,685,"2,500","1,254","1,246"
Tlaxcala,Preescolar,"48,862","24,771","24,091","48,413","24,352","24,061","49,545","24,772","24,773"
Tlaxcala,Primaria,"151,693","76,994","74,699","149,011","75,566","73,445","148,306","75,232","73,074"
Tlaxcala,Secundaria,"74,758","37,617","37,141","73,521","36,999","36,522","73,418","36,910","36,508"
Tlaxcala,Media superior,"57,022","28,176","28,846","56,366","27,605","28,761","58,435","28,957","29,478"
Tlaxcala,Superior,"36,467","16,826","19,641","36,979","16,589","20,390","39,408","17,933","21,475"
Veracruz de Ignacio de la Llave,Total,"1,932,421","975,539","956,882","1,864,562","935,328","929,234","1,865,315","936,363","928,952"
Veracruz de Ignacio de la Llave,Inicial,"5,000","2,533","2,467","5,440","2,797","2,643","6,535","3,389","3,146"
Veracruz de Ignacio de la Llave,Preescolar,"227,888","115,064","112,824","210,791","106,103","104,688","220,495","110,990","109,505"
Veracruz de Ignacio de la Llave,Primaria,"825,771","421,202","404,569","805,325","410,683","394,642","788,898","402,345","386,553"
Veracruz de Ignacio de la Llave,Secundaria,"380,577","191,903","188,674","364,576","182,773","181,803","363,070","182,441","180,629"
Veracruz de Ignacio de la Llave,Media superior,"303,892","149,338","154,554","291,514","140,413","151,101","300,102","145,805","154,297"
Veracruz de Ignacio de la Llave,Superior,"189,293","95,499","93,794","186,916","92,559","94,357","186,215","91,393","94,822"
Yucatán,Total,"594,229","299,654","294,575","601,178","301,281","299,897","615,958","308,964","306,994"
Yucatán,Inicial,"6,853","3,481","3,372","6,453","3,334","3,119","7,452","3,938","3,514"
Yucatán,Preescolar,"80,299","40,898","39,401","78,684","40,142","38,542","96,893","49,184","47,709"
Yucatán,Primaria,"228,631","117,043","111,588","233,131","119,157","113,974","228,911","116,719","112,192"
Yucatán,Secundaria,"107,505","54,280","53,225","109,520","55,423","54,097","106,253","53,634","52,619"
Yucatán,Media superior,"91,280","45,231","46,049","89,160","43,198","45,962","92,784","45,737","47,047"
Yucatán,Superior,"79,661","38,721","40,940","84,230","40,027","44,203","83,665","39,752","43,913"
Zacatecas,Total,"478,383","236,854","241,529","466,044","229,315","236,729","468,503","230,352","238,151"
Zacatecas,Inicial,"4,213","2,134","2,079","4,062","2,092","1,970","4,248","2,203","2,045"
Zacatecas,Preescolar,"73,526","37,127","36,399","69,950","35,051","34,899","70,035","35,028","35,007"
Zacatecas,Primaria,"197,572","99,793","97,779","194,700","98,622","96,078","193,349","97,872","95,477"
Zacatecas,Secundaria,"89,335","45,253","44,082","87,812","44,136","43,676","88,046","44,066","43,980"
Zacatecas,Media superior,"62,703","28,963","33,740","60,619","27,538","33,081","63,589","29,323","34,266"
Zacatecas,Superior,"51,034","23,584","27,450","48,901","21,876","27,025","49,236","21,860","27,376"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ND (No disponible) indica que no se cuenta con información.,,,,,,,,,,
,,,,,,,,,,
Notas:,,,,,,,,,,
"Los datos presentados se refieren al esquema general –Escolarizado– del Sistema Educativo Nacional, además, comprenden los servicios por sostenimiento: público (federal, estatal y autónomo) y privado. Las cifras corresponden a inicio de cursos.",,,,,,,,,,
"Educación Media superior: incluye estudios técnicos o comerciales con secundaria terminada, comprende los niveles educativos: Profesional técnico y Bachillerato.",,,,,,,,,,
"Educación Superior: incluye estudios técnicos o comerciales con preparatoria terminada, comprende los niveles educativos: Técnico superior, Normal licenciatura, Licenciatura universitaria tecnológica y Posgrado.",,,,,,,,,,
"El 5 de diciembre de 2025, se reemplazaron los datos del ciclo escolar 2023/2024 con cifras definitivas, ya que las anteriores eran preliminares.",,,,,,,,,,
"Para el ciclo escolar 2024/2025, cifras preliminares.",,,,,,,,,,
,,,,,,,,,,
Fuente:,,,,,,,,,,
"Para 2000/2001: SEP. Estadística Básica del Sistema Educativo Nacional. Inicio de Cursos 2000-2001. México, DF, 2001.",,,,,,,,,,
"Para 2005/2006: SEP. Sistema Educativo de los Estados Unidos Mexicanos. Principales cifras, ciclo escolar 2005-2006. México, DF.",,,,,,,,,,
De 2010/2011 a 2024/2025: SEP. Sistema Interactivo de Consulta de Estadística Educativa. http://planeacion.sep.gob.mx/principalescifras/ (Consulta: 25 de noviembre de 2025).,,,,,,,,,,
,,,,,,,,,,
